T,t,P
250.0,1.0,3.98
250.0,2.0,3.83
250.0,3.0,3.82
250.0,4.0,3.75
250.0,5.0,3.69
250.0,6.0,3.62
250.0,7.0,3.59
250.0,8.0,3.56
250.0,9.0,3.53
250.0,10.0,3.44
250.0,11.0,3.44
250.0,12.0,3.34
250.0,13.0,3.3
250.0,14.0,3.28
250.0,15.0,3.18
250.0,16.0,3.19
250.0,17.0,3.12
250.0,18.0,3.15
250.0,19.0,3.06
250.0,20.0,3.06
250.0,21.0,2.96
250.0,22.0,3.0
250.0,23.0,2.97
250.0,24.0,2.9
275.0,1.0,3.86
275.0,2.0,3.66
275.0,3.0,3.5
275.0,4.0,3.37
275.0,5.0,3.3
275.0,6.0,3.16
275.0,7.0,3.07
275.0,8.0,2.97
275.0,9.0,2.96
275.0,10.0,2.84
275.0,11.0,2.73
275.0,12.0,2.74
275.0,13.0,2.66
275.0,14.0,2.58
275.0,15.0,2.5
275.0,16.0,2.47
275.0,17.0,2.44
275.0,18.0,2.43
275.0,19.0,2.39
275.0,20.0,2.33
275.0,21.0,2.35
275.0,22.0,2.26
275.0,23.0,2.25
275.0,24.0,2.23
300.0,1.0,3.65
300.0,2.0,3.28
300.0,3.0,3.05
300.0,4.0,2.83
300.0,5.0,2.68
300.0,6.0,2.53
300.0,7.0,2.51
300.0,8.0,2.41
300.0,9.0,2.29
300.0,10.0,2.29
300.0,11.0,2.21
300.0,12.0,2.12
300.0,13.0,2.14
300.0,14.0,2.15
300.0,15.0,2.06
300.0,16.0,2.11
300.0,17.0,2.06
300.0,18.0,2.0
300.0,19.0,2.04
300.0,20.0,2.06
300.0,21.0,2.07
300.0,22.0,2.05
300.0,23.0,2.06
300.0,24.0,2.05
