T,PA0,PB0,t,fA
475.0,0.5,0.5,0.5,0.022
475.0,0.5,0.5,1.0,0.035
475.0,0.5,0.5,1.5,0.052
475.0,0.5,0.5,2.0,0.066
475.0,0.5,0.5,2.5,0.085
475.0,0.5,0.5,5.0,0.152
475.0,0.5,0.5,10.0,0.245
475.0,0.5,1.0,0.5,0.041
475.0,0.5,1.0,1.0,0.064
475.0,0.5,1.0,1.5,0.097
475.0,0.5,1.0,2.0,0.113
475.0,0.5,1.0,2.5,0.148
475.0,0.5,1.0,5.0,0.272
475.0,0.5,1.0,10.0,0.453
475.0,0.5,1.5,0.5,0.039
475.0,0.5,1.5,1.0,0.096
475.0,0.5,1.5,1.5,0.131
475.0,0.5,1.5,2.0,0.174
475.0,0.5,1.5,2.5,0.219
475.0,0.5,1.5,5.0,0.366
475.0,0.5,1.5,10.0,0.584
475.0,1.0,0.5,0.5,0.026
475.0,1.0,0.5,1.0,0.035
475.0,1.0,0.5,1.5,0.055
475.0,1.0,0.5,2.0,0.059
475.0,1.0,0.5,2.5,0.073
475.0,1.0,0.5,5.0,0.135
475.0,1.0,0.5,10.0,0.214
475.0,1.0,1.0,0.5,0.034
475.0,1.0,1.0,1.0,0.055
475.0,1.0,1.0,1.5,0.101
475.0,1.0,1.0,2.0,0.121
475.0,1.0,1.0,2.5,0.142
475.0,1.0,1.0,5.0,0.253
475.0,1.0,1.0,10.0,0.397
475.0,1.0,1.5,0.5,0.056
475.0,1.0,1.5,1.0,0.094
475.0,1.0,1.5,1.5,0.125
475.0,1.0,1.5,2.0,0.163
475.0,1.0,1.5,2.5,0.209
475.0,1.0,1.5,5.0,0.345
475.0,1.0,1.5,10.0,0.554
475.0,1.5,0.5,0.5,0.013
475.0,1.5,0.5,1.0,0.028
475.0,1.5,0.5,1.5,0.045
475.0,1.5,0.5,2.0,0.064
475.0,1.5,0.5,2.5,0.073
475.0,1.5,0.5,5.0,0.134
475.0,1.5,0.5,10.0,0.194
475.0,1.5,1.0,0.5,0.03
475.0,1.5,1.0,1.0,0.069
475.0,1.5,1.0,1.5,0.097
475.0,1.5,1.0,2.0,0.114
475.0,1.5,1.0,2.5,0.14
475.0,1.5,1.0,5.0,0.236
475.0,1.5,1.0,10.0,0.356
475.0,1.5,1.5,0.5,0.046
475.0,1.5,1.5,1.0,0.089
475.0,1.5,1.5,1.5,0.129
475.0,1.5,1.5,2.0,0.168
475.0,1.5,1.5,2.5,0.211
475.0,1.5,1.5,5.0,0.335
475.0,1.5,1.5,10.0,0.503
500.0,0.5,0.5,0.5,0.024
500.0,0.5,0.5,1.0,0.058
500.0,0.5,0.5,1.5,0.084
500.0,0.5,0.5,2.0,0.102
500.0,0.5,0.5,2.5,0.129
500.0,0.5,0.5,5.0,0.216
500.0,0.5,0.5,10.0,0.363
500.0,0.5,1.0,0.5,0.058
500.0,0.5,1.0,1.0,0.099
500.0,0.5,1.0,1.5,0.141
500.0,0.5,1.0,2.0,0.193
500.0,0.5,1.0,2.5,0.228
500.0,0.5,1.0,5.0,0.389
500.0,0.5,1.0,10.0,0.591
500.0,0.5,1.5,0.5,0.084
