CS0,t,CP
15.0,5.0,0.42
15.0,10.0,0.84
15.0,15.0,1.13
15.0,20.0,2.29
15.0,25.0,2.72
15.0,30.0,3.26
15.0,35.0,3.78
15.0,40.0,4.14
15.0,45.0,4.45
15.0,50.0,5.17
15.0,55.0,5.38
15.0,60.0,5.52
15.0,65.0,6.41
15.0,70.0,7.03
15.0,75.0,7.61
15.0,80.0,7.99
15.0,85.0,8.44
15.0,90.0,8.81
15.0,95.0,9.15
15.0,100.0,9.11
15.0,105.0,10.06
15.0,110.0,10.09
15.0,115.0,10.34
15.0,120.0,10.73
10.0,5.0,0.77
10.0,10.0,0.55
10.0,15.0,1.69
10.0,20.0,2.05
10.0,25.0,1.99
10.0,30.0,3.09
10.0,35.0,3.25
10.0,40.0,3.35
10.0,45.0,4.33
10.0,50.0,4.88
10.0,55.0,5.31
10.0,60.0,5.18
10.0,65.0,5.8
10.0,70.0,5.75
10.0,75.0,6.34
10.0,80.0,6.82
10.0,85.0,7.02
10.0,90.0,7.45
10.0,95.0,7.78
10.0,100.0,8.44
10.0,105.0,8.12
10.0,110.0,8.89
10.0,115.0,8.9
10.0,120.0,9.36
5.0,5.0,0.1
5.0,10.0,1.06
5.0,15.0,1.33
5.0,20.0,1.57
5.0,25.0,2.09
5.0,30.0,2.39
5.0,35.0,2.35
5.0,40.0,2.72
5.0,45.0,3.03
5.0,50.0,3.49
5.0,55.0,3.6
5.0,60.0,3.88
5.0,65.0,4.2
5.0,70.0,4.53
5.0,75.0,4.13
5.0,80.0,4.63
5.0,85.0,4.55
5.0,90.0,4.6
5.0,95.0,4.72
5.0,100.0,5.15
5.0,105.0,4.75
5.0,110.0,5.12
5.0,115.0,5.2
5.0,120.0,4.55
