A_in,Y_in,Z_in,fA
30.0,0.0,0.0,100.8
30.0,0.0,50.0,94.1
30.0,0.0,100.0,84.1
30.0,0.0,150.0,74.5
30.0,50.0,0.0,93.5
30.0,50.0,50.0,83.4
30.0,50.0,100.0,74.7
30.0,50.0,150.0,66.3
30.0,100.0,0.0,84.9
30.0,100.0,50.0,74.8
30.0,100.0,100.0,68.2
30.0,100.0,150.0,60.8
30.0,150.0,0.0,75.4
30.0,150.0,50.0,65.8
30.0,150.0,100.0,61.0
30.0,150.0,150.0,54.1
60.0,0.0,0.0,91.1
60.0,0.0,50.0,82.5
60.0,0.0,100.0,75.9
60.0,0.0,150.0,66.7
60.0,50.0,0.0,84.4
60.0,50.0,50.0,73.8
60.0,50.0,100.0,68.0
60.0,50.0,150.0,59.9
60.0,100.0,0.0,74.1
60.0,100.0,50.0,68.9
60.0,100.0,100.0,60.5
60.0,100.0,150.0,56.7
60.0,150.0,0.0,67.7
60.0,150.0,50.0,59.2
60.0,150.0,100.0,57.1
60.0,150.0,150.0,52.3
90.0,0.0,0.0,83.0
90.0,0.0,50.0,76.2
90.0,0.0,100.0,67.3
90.0,0.0,150.0,62.8
90.0,50.0,0.0,77.6
90.0,50.0,50.0,69.4
90.0,50.0,100.0,61.9
90.0,50.0,150.0,54.9
90.0,100.0,0.0,68.6
90.0,100.0,50.0,60.1
90.0,100.0,100.0,54.4
90.0,100.0,150.0,49.4
90.0,150.0,0.0,61.9
90.0,150.0,50.0,57.8
90.0,150.0,100.0,50.8
90.0,150.0,150.0,46.5
120.0,0.0,0.0,78.7
120.0,0.0,50.0,71.8
120.0,0.0,100.0,61.8
120.0,0.0,150.0,57.2
120.0,50.0,0.0,69.0
120.0,50.0,50.0,62.6
120.0,50.0,100.0,55.8
120.0,50.0,150.0,53.5
120.0,100.0,0.0,64.0
120.0,100.0,50.0,59.0
120.0,100.0,100.0,51.3
120.0,100.0,150.0,48.7
120.0,150.0,0.0,56.4
120.0,150.0,50.0,53.5
120.0,150.0,100.0,47.0
120.0,150.0,150.0,43.5
150.0,0.0,0.0,70.3
150.0,0.0,50.0,65.1
150.0,0.0,100.0,58.7
150.0,0.0,150.0,52.2
150.0,50.0,0.0,64.1
150.0,50.0,50.0,58.7
150.0,50.0,100.0,53.1
150.0,50.0,150.0,50.2
150.0,100.0,0.0,58.6
150.0,100.0,50.0,53.2
150.0,100.0,100.0,48.2
150.0,100.0,150.0,45.2
150.0,150.0,0.0,51.6
150.0,150.0,50.0,47.8
150.0,150.0,100.0,44.5
150.0,150.0,150.0,43.3
180.0,0.0,0.0,67.0
180.0,0.0,50.0,58.3
180.0,0.0,100.0,52.9
180.0,0.0,150.0,50.4
180.0,50.0,0.0,59.4
180.0,50.0,50.0,56.3
180.0,50.0,100.0,48.7
180.0,50.0,150.0,46.4
180.0,100.0,0.0,56.2
180.0,100.0,50.0,49.2
180.0,100.0,100.0,46.1
180.0,100.0,150.0,44.1
180.0,150.0,0.0,51.6
180.0,150.0,50.0,47.4
180.0,150.0,100.0,43.4
180.0,150.0,150.0,40.7
210.0,0.0,0.0,61.4
210.0,0.0,50.0,55.1
210.0,0.0,100.0,49.5
210.0,0.0,150.0,45.7
210.0,50.0,0.0,55.5
210.0,50.0,50.0,50.2
210.0,50.0,100.0,46.4
210.0,50.0,150.0,43.8
210.0,100.0,0.0,50.0
210.0,100.0,50.0,45.1
210.0,100.0,100.0,42.4
210.0,100.0,150.0,40.1
210.0,150.0,0.0,47.7
210.0,150.0,50.0,43.9
210.0,150.0,100.0,39.3
210.0,150.0,150.0,39.5
240.0,0.0,0.0,57.6
240.0,0.0,50.0,52.9
240.0,0.0,100.0,49.1
240.0,0.0,150.0,44.2
240.0,50.0,0.0,52.9
240.0,50.0,50.0,49.6
240.0,50.0,100.0,43.8
240.0,50.0,150.0,42.8
240.0,100.0,0.0,46.9
240.0,100.0,50.0,44.3
240.0,100.0,100.0,41.1
240.0,100.0,150.0,40.0
240.0,150.0,0.0,43.7
240.0,150.0,50.0,39.7
240.0,150.0,100.0,36.7
240.0,150.0,150.0,35.6
270.0,0.0,0.0,53.3
270.0,0.0,50.0,48.4
270.0,0.0,100.0,44.2
270.0,0.0,150.0,40.2
270.0,50.0,0.0,49.6
270.0,50.0,50.0,43.4
270.0,50.0,100.0,40.4
270.0,50.0,150.0,37.7
270.0,100.0,0.0,44.1
270.0,100.0,50.0,41.7
270.0,100.0,100.0,40.9
270.0,100.0,150.0,35.8
270.0,150.0,0.0,41.2
270.0,150.0,50.0,41.0
270.0,150.0,100.0,38.7
270.0,150.0,150.0,35.4
300.0,0.0,0.0,48.5
300.0,0.0,50.0,46.2
300.0,0.0,100.0,43.4
300.0,0.0,150.0,39.5
300.0,50.0,0.0,47.0
300.0,50.0,50.0,42.9
300.0,50.0,100.0,40.5
300.0,50.0,150.0,38.7
300.0,100.0,0.0,41.4
300.0,100.0,50.0,40.9
300.0,100.0,100.0,37.9
300.0,100.0,150.0,34.3
300.0,150.0,0.0,41.8
300.0,150.0,50.0,35.6
300.0,150.0,100.0,37.1
300.0,150.0,150.0,32.2
