CS0,t,CP
15.0,5.0,0.56
15.0,10.0,0.85
15.0,15.0,1.11
15.0,20.0,1.8
15.0,25.0,2.11
15.0,30.0,3.26
15.0,35.0,3.37
15.0,40.0,4.02
15.0,45.0,4.72
15.0,50.0,5.26
15.0,55.0,5.14
15.0,60.0,6.06
15.0,65.0,5.98
15.0,70.0,6.58
15.0,75.0,6.99
15.0,80.0,7.54
15.0,85.0,7.8
15.0,90.0,8.75
15.0,95.0,9.35
15.0,100.0,9.42
15.0,105.0,10.01
15.0,110.0,10.6
15.0,115.0,11.0
15.0,120.0,10.97
10.0,5.0,0.68
10.0,10.0,0.75
10.0,15.0,1.62
10.0,20.0,1.88
10.0,25.0,2.67
10.0,30.0,3.15
10.0,35.0,2.94
10.0,40.0,3.77
10.0,45.0,3.93
10.0,50.0,4.63
10.0,55.0,5.24
10.0,60.0,5.26
10.0,65.0,5.66
10.0,70.0,5.76
10.0,75.0,6.67
10.0,80.0,7.05
10.0,85.0,6.75
10.0,90.0,7.34
10.0,95.0,7.66
10.0,100.0,8.06
10.0,105.0,7.96
10.0,110.0,8.54
10.0,115.0,8.41
10.0,120.0,8.74
5.0,5.0,0.74
5.0,10.0,0.73
5.0,15.0,1.2
5.0,20.0,1.87
5.0,25.0,1.5
5.0,30.0,2.09
5.0,35.0,2.52
5.0,40.0,2.68
5.0,45.0,3.44
5.0,50.0,3.6
5.0,55.0,3.79
5.0,60.0,3.89
5.0,65.0,4.28
5.0,70.0,3.86
5.0,75.0,4.38
5.0,80.0,4.71
5.0,85.0,4.5
5.0,90.0,4.88
5.0,95.0,4.4
5.0,100.0,5.08
5.0,105.0,4.74
5.0,110.0,5.21
5.0,115.0,5.0
5.0,120.0,4.82
