VFR,CAin,CBin,CYin,CZin,CYout
50.0,0.5,0.5,0.5,0.5,0.89
50.0,0.5,0.5,0.5,1.0,0.85
50.0,0.5,0.5,0.5,2.5,0.75
50.0,0.5,0.5,0.5,5.0,0.64
50.0,0.5,0.5,1.0,0.5,1.39
50.0,0.5,0.5,1.0,1.0,1.34
50.0,0.5,0.5,1.0,2.5,1.24
50.0,0.5,0.5,1.0,5.0,1.13
50.0,0.5,0.5,2.5,0.5,2.88
50.0,0.5,0.5,2.5,1.0,2.84
50.0,0.5,0.5,2.5,2.5,2.73
50.0,0.5,0.5,2.5,5.0,2.63
50.0,0.5,0.5,5.0,0.5,5.39
50.0,0.5,0.5,5.0,1.0,5.34
50.0,0.5,0.5,5.0,2.5,5.24
50.0,0.5,0.5,5.0,5.0,5.14
50.0,0.5,1.0,0.5,0.5,0.96
50.0,0.5,1.0,0.5,1.0,0.93
50.0,0.5,1.0,0.5,2.5,0.86
50.0,0.5,1.0,0.5,5.0,0.72
50.0,0.5,1.0,1.0,0.5,1.48
50.0,0.5,1.0,1.0,1.0,1.45
50.0,0.5,1.0,1.0,2.5,1.35
50.0,0.5,1.0,1.0,5.0,1.22
50.0,0.5,1.0,2.5,0.5,2.97
50.0,0.5,1.0,2.5,1.0,2.94
50.0,0.5,1.0,2.5,2.5,2.85
50.0,0.5,1.0,2.5,5.0,2.71
50.0,0.5,1.0,5.0,0.5,5.46
50.0,0.5,1.0,5.0,1.0,5.43
50.0,0.5,1.0,5.0,2.5,5.34
50.0,0.5,1.0,5.0,5.0,5.22
50.0,0.5,2.5,0.5,0.5,0.99
50.0,0.5,2.5,0.5,1.0,0.98
50.0,0.5,2.5,0.5,2.5,0.93
50.0,0.5,2.5,0.5,5.0,0.83
50.0,0.5,2.5,1.0,0.5,1.49
50.0,0.5,2.5,1.0,1.0,1.48
50.0,0.5,2.5,1.0,2.5,1.44
50.0,0.5,2.5,1.0,5.0,1.34
50.0,0.5,2.5,2.5,0.5,2.99
50.0,0.5,2.5,2.5,1.0,2.98
50.0,0.5,2.5,2.5,2.5,2.93
50.0,0.5,2.5,2.5,5.0,2.83
50.0,0.5,2.5,5.0,0.5,5.5
50.0,0.5,2.5,5.0,1.0,5.48
50.0,0.5,2.5,5.0,2.5,5.43
50.0,0.5,2.5,5.0,5.0,5.34
50.0,0.5,5.0,0.5,0.5,0.99
50.0,0.5,5.0,0.5,1.0,0.99
50.0,0.5,5.0,0.5,2.5,0.97
50.0,0.5,5.0,0.5,5.0,0.91
50.0,0.5,5.0,1.0,0.5,1.49
50.0,0.5,5.0,1.0,1.0,1.49
50.0,0.5,5.0,1.0,2.5,1.47
50.0,0.5,5.0,1.0,5.0,1.41
50.0,0.5,5.0,2.5,0.5,2.99
50.0,0.5,5.0,2.5,1.0,2.99
50.0,0.5,5.0,2.5,2.5,2.96
50.0,0.5,5.0,2.5,5.0,2.91
50.0,0.5,5.0,5.0,0.5,5.49
50.0,0.5,5.0,5.0,1.0,5.49
50.0,0.5,5.0,5.0,2.5,5.46
50.0,0.5,5.0,5.0,5.0,5.4
50.0,1.0,0.5,0.5,0.5,0.97
50.0,1.0,0.5,0.5,1.0,0.95
50.0,1.0,0.5,0.5,2.5,0.84
50.0,1.0,0.5,0.5,5.0,0.73
50.0,1.0,0.5,1.0,0.5,1.48
50.0,1.0,0.5,1.0,1.0,1.45
50.0,1.0,0.5,1.0,2.5,1.34
50.0,1.0,0.5,1.0,5.0,1.22
50.0,1.0,0.5,2.5,0.5,2.97
50.0,1.0,0.5,2.5,1.0,2.95
50.0,1.0,0.5,2.5,2.5,2.84
50.0,1.0,0.5,2.5,5.0,2.71
50.0,1.0,0.5,5.0,0.5,5.47
50.0,1.0,0.5,5.0,1.0,5.43
50.0,1.0,0.5,5.0,2.5,5.35
50.0,1.0,0.5,5.0,5.0,5.21
50.0,1.0,1.0,0.5,0.5,1.28
50.0,1.0,1.0,0.5,1.0,1.23
50.0,1.0,1.0,0.5,2.5,1.07
50.0,1.0,1.0,0.5,5.0,0.88
50.0,1.0,1.0,1.0,0.5,1.79
50.0,1.0,1.0,1.0,1.0,1.73
50.0,1.0,1.0,1.0,2.5,1.56
50.0,1.0,1.0,1.0,5.0,1.38
50.0,1.0,1.0,2.5,0.5,3.28
50.0,1.0,1.0,2.5,1.0,3.22
50.0,1.0,1.0,2.5,2.5,3.06
50.0,1.0,1.0,2.5,5.0,2.87
50.0,1.0,1.0,5.0,0.5,5.79
50.0,1.0,1.0,5.0,1.0,5.72
50.0,1.0,1.0,5.0,2.5,5.56
50.0,1.0,1.0,5.0,5.0,5.38
50.0,1.0,2.5,0.5,0.5,1.45
50.0,1.0,2.5,0.5,1.0,1.43
50.0,1.0,2.5,0.5,2.5,1.31
50.0,1.0,2.5,0.5,5.0,1.13
50.0,1.0,2.5,1.0,0.5,1.95
50.0,1.0,2.5,1.0,1.0,1.92
50.0,1.0,2.5,1.0,2.5,1.81
50.0,1.0,2.5,1.0,5.0,1.62
50.0,1.0,2.5,2.5,0.5,3.45
