VFR,CAin,CYin,CZin,CA
0.5,0.01,0.0,0.0,0.0059
0.5,0.01,0.0,0.01,0.0063
0.5,0.01,0.0,0.02,0.007
0.5,0.01,0.0,0.03,0.007
0.5,0.01,0.01,0.0,0.0067
0.5,0.01,0.01,0.01,0.008
0.5,0.01,0.01,0.02,0.0093
0.5,0.01,0.01,0.03,0.0099
0.5,0.01,0.02,0.0,0.0071
0.5,0.01,0.02,0.01,0.0088
0.5,0.01,0.02,0.02,0.0104
0.5,0.01,0.02,0.03,0.0115
0.5,0.01,0.03,0.0,0.007
0.5,0.01,0.03,0.01,0.0094
0.5,0.01,0.03,0.02,0.0115
0.5,0.01,0.03,0.03,0.0132
0.5,0.02,0.0,0.0,0.0105
0.5,0.02,0.0,0.01,0.0113
0.5,0.02,0.0,0.02,0.0116
0.5,0.02,0.0,0.03,0.0123
0.5,0.02,0.01,0.0,0.0114
0.5,0.02,0.01,0.01,0.0136
0.5,0.02,0.01,0.02,0.0136
0.5,0.02,0.01,0.03,0.0142
0.5,0.02,0.02,0.0,0.0121
0.5,0.02,0.02,0.01,0.0149
0.5,0.02,0.02,0.02,0.0153
0.5,0.02,0.02,0.03,0.0158
0.5,0.02,0.03,0.0,0.0131
0.5,0.02,0.03,0.01,0.0145
0.5,0.02,0.03,0.02,0.0175
0.5,0.02,0.03,0.03,0.0181
0.5,0.03,0.0,0.0,0.0153
0.5,0.03,0.0,0.01,0.0174
0.5,0.03,0.0,0.02,0.0154
0.5,0.03,0.0,0.03,0.0173
0.5,0.03,0.01,0.0,0.017
0.5,0.03,0.01,0.01,0.0158
0.5,0.03,0.01,0.02,0.0189
0.5,0.03,0.01,0.03,0.0202
0.5,0.03,0.02,0.0,0.0167
0.5,0.03,0.02,0.01,0.0197
0.5,0.03,0.02,0.02,0.0207
0.5,0.03,0.02,0.03,0.0219
0.5,0.03,0.03,0.0,0.0165
0.5,0.03,0.03,0.01,0.0201
0.5,0.03,0.03,0.02,0.0204
0.5,0.03,0.03,0.03,0.0228
1.0,0.01,0.0,0.0,0.007
1.0,0.01,0.0,0.01,0.0079
1.0,0.01,0.0,0.02,0.0081
1.0,0.01,0.0,0.03,0.0076
1.0,0.01,0.01,0.0,0.0074
1.0,0.01,0.01,0.01,0.0088
1.0,0.01,0.01,0.02,0.009
1.0,0.01,0.01,0.03,0.0098
1.0,0.01,0.02,0.0,0.008
1.0,0.01,0.02,0.01,0.0097
1.0,0.01,0.02,0.02,0.0107
1.0,0.01,0.02,0.03,0.0114
1.0,0.01,0.03,0.0,0.0075
1.0,0.01,0.03,0.01,0.0096
1.0,0.01,0.03,0.02,0.0113
1.0,0.01,0.03,0.03,0.0132
1.0,0.02,0.0,0.0,0.0135
1.0,0.02,0.0,0.01,0.0141
1.0,0.02,0.0,0.02,0.0128
1.0,0.02,0.0,0.03,0.0145
1.0,0.02,0.01,0.0,0.013
1.0,0.02,0.01,0.01,0.014
1.0,0.02,0.01,0.02,0.0158
1.0,0.02,0.01,0.03,0.0151
1.0,0.02,0.02,0.0,0.014
1.0,0.02,0.02,0.01,0.0156
1.0,0.02,0.02,0.02,0.0156
1.0,0.02,0.02,0.03,0.0162
1.0,0.02,0.03,0.0,0.0143
1.0,0.02,0.03,0.01,0.0162
1.0,0.02,0.03,0.02,0.0173
1.0,0.02,0.03,0.03,0.0193
1.0,0.03,0.0,0.0,0.0181
1.0,0.03,0.0,0.01,0.0193
1.0,0.03,0.0,0.02,0.0176
1.0,0.03,0.0,0.03,0.0185
1.0,0.03,0.01,0.0,0.0188
1.0,0.03,0.01,0.01,0.0196
1.0,0.03,0.01,0.02,0.0191
1.0,0.03,0.01,0.03,0.022
1.0,0.03,0.02,0.0,0.0201
1.0,0.03,0.02,0.01,0.0211
1.0,0.03,0.02,0.02,0.0212
1.0,0.03,0.02,0.03,0.0208
1.0,0.03,0.03,0.0,0.0184
1.0,0.03,0.03,0.01,0.0218
1.0,0.03,0.03,0.02,0.0236
1.0,0.03,0.03,0.03,0.0224
1.5,0.01,0.0,0.0,0.0077
1.5,0.01,0.0,0.01,0.008
1.5,0.01,0.0,0.02,0.0085
1.5,0.01,0.0,0.03,0.0079
1.5,0.01,0.01,0.0,0.0086
1.5,0.01,0.01,0.01,0.0087
1.5,0.01,0.01,0.02,0.0098
1.5,0.01,0.01,0.03,0.0102
1.5,0.01,0.02,0.0,0.0078
1.5,0.01,0.02,0.01,0.0098
1.5,0.01,0.02,0.02,0.0102
1.5,0.01,0.02,0.03,0.0111
1.5,0.01,0.03,0.0,0.0087
1.5,0.01,0.03,0.01,0.0097
1.5,0.01,0.03,0.02,0.0114
1.5,0.01,0.03,0.03,0.0121
1.5,0.02,0.0,0.0,0.0143
1.5,0.02,0.0,0.01,0.0143
1.5,0.02,0.0,0.02,0.0153
1.5,0.02,0.0,0.03,0.0157
1.5,0.02,0.01,0.0,0.0141
1.5,0.02,0.01,0.01,0.0142
1.5,0.02,0.01,0.02,0.0149
1.5,0.02,0.01,0.03,0.0163
1.5,0.02,0.02,0.0,0.0154
1.5,0.02,0.02,0.01,0.0154
1.5,0.02,0.02,0.02,0.0168
1.5,0.02,0.02,0.03,0.0184
1.5,0.02,0.03,0.0,0.0149
1.5,0.02,0.03,0.01,0.0155
1.5,0.02,0.03,0.02,0.0177
1.5,0.02,0.03,0.03,0.0192
1.5,0.03,0.0,0.0,0.0181
1.5,0.03,0.0,0.01,0.0192
1.5,0.03,0.0,0.02,0.0195
1.5,0.03,0.0,0.03,0.0206
1.5,0.03,0.01,0.0,0.0182
1.5,0.03,0.01,0.01,0.0195
1.5,0.03,0.01,0.02,0.022
1.5,0.03,0.01,0.03,0.0232
1.5,0.03,0.02,0.0,0.0206
1.5,0.03,0.02,0.01,0.0205
1.5,0.03,0.02,0.02,0.0211
1.5,0.03,0.02,0.03,0.0227
1.5,0.03,0.03,0.0,0.0195
1.5,0.03,0.03,0.01,0.0218
1.5,0.03,0.03,0.02,0.0227
1.5,0.03,0.03,0.03,0.0247
2.0,0.01,0.0,0.0,0.0081
2.0,0.01,0.0,0.01,0.0087
2.0,0.01,0.0,0.02,0.0084
2.0,0.01,0.0,0.03,0.0085
2.0,0.01,0.01,0.0,0.0081
2.0,0.01,0.01,0.01,0.0085
2.0,0.01,0.01,0.02,0.0094
2.0,0.01,0.01,0.03,0.01
2.0,0.01,0.02,0.0,0.0084
2.0,0.01,0.02,0.01,0.0095
2.0,0.01,0.02,0.02,0.01
2.0,0.01,0.02,0.03,0.0111
2.0,0.01,0.03,0.0,0.0083
2.0,0.01,0.03,0.01,0.0099
2.0,0.01,0.03,0.02,0.0109
2.0,0.01,0.03,0.03,0.0124
2.0,0.02,0.0,0.0,0.0156
2.0,0.02,0.0,0.01,0.0151
2.0,0.02,0.0,0.02,0.0157
2.0,0.02,0.0,0.03,0.0157
2.0,0.02,0.01,0.0,0.0154
2.0,0.02,0.01,0.01,0.0152
2.0,0.02,0.01,0.02,0.0157
2.0,0.02,0.01,0.03,0.0171
2.0,0.02,0.02,0.0,0.0156
2.0,0.02,0.02,0.01,0.0159
2.0,0.02,0.02,0.02,0.0174
2.0,0.02,0.02,0.03,0.0173
2.0,0.02,0.03,0.0,0.016
2.0,0.02,0.03,0.01,0.0164
2.0,0.02,0.03,0.02,0.0181
2.0,0.02,0.03,0.03,0.0185
2.0,0.03,0.0,0.0,0.0211
2.0,0.03,0.0,0.01,0.0197
2.0,0.03,0.0,0.02,0.0226
2.0,0.03,0.0,0.03,0.0215
2.0,0.03,0.01,0.0,0.02
2.0,0.03,0.01,0.01,0.022
2.0,0.03,0.01,0.02,0.0225
