Experiment,T,CA0,t,CA
1.0,65.0,0.5,5.0,0.47
1.0,65.0,0.5,10.0,0.43
1.0,65.0,0.5,15.0,0.41
1.0,65.0,0.5,20.0,0.39
1.0,65.0,0.5,25.0,0.36
1.0,65.0,0.5,30.0,0.33
2.0,73.0,0.5,5.0,0.45
2.0,73.0,0.5,10.0,0.39
2.0,73.0,0.5,15.0,0.36
2.0,73.0,0.5,20.0,0.32
2.0,73.0,0.5,25.0,0.27
2.0,73.0,0.5,30.0,0.25
3.0,82.0,0.5,5.0,0.41
3.0,82.0,0.5,10.0,0.33
3.0,82.0,0.5,15.0,0.26
3.0,82.0,0.5,20.0,0.22
3.0,82.0,0.5,25.0,0.17
3.0,82.0,0.5,30.0,0.15
4.0,90.0,0.5,5.0,0.35
4.0,90.0,0.5,10.0,0.24
4.0,90.0,0.5,15.0,0.17
4.0,90.0,0.5,20.0,0.12
4.0,90.0,0.5,25.0,0.08
4.0,90.0,0.5,30.0,0.07
5.0,65.0,1.0,5.0,0.93
5.0,65.0,1.0,10.0,0.87
5.0,65.0,1.0,15.0,0.82
5.0,65.0,1.0,20.0,0.78
5.0,65.0,1.0,25.0,0.72
5.0,65.0,1.0,30.0,0.67
6.0,73.0,1.0,5.0,0.9
6.0,73.0,1.0,10.0,0.79
6.0,73.0,1.0,15.0,0.7
6.0,73.0,1.0,20.0,0.62
6.0,73.0,1.0,25.0,0.56
6.0,73.0,1.0,30.0,0.49
7.0,82.0,1.0,5.0,0.82
7.0,82.0,1.0,10.0,0.66
7.0,82.0,1.0,15.0,0.53
7.0,82.0,1.0,20.0,0.43
7.0,82.0,1.0,25.0,0.35
7.0,82.0,1.0,30.0,0.28
8.0,90.0,1.0,5.0,0.71
8.0,90.0,1.0,10.0,0.5
8.0,90.0,1.0,15.0,0.36
8.0,90.0,1.0,20.0,0.26
8.0,90.0,1.0,25.0,0.17
8.0,90.0,1.0,30.0,0.13
9.0,65.0,1.5,5.0,1.4
9.0,65.0,1.5,10.0,1.31
9.0,65.0,1.5,15.0,1.23
9.0,65.0,1.5,20.0,1.16
9.0,65.0,1.5,25.0,1.07
9.0,65.0,1.5,30.0,1.0
10.0,73.0,1.5,5.0,1.33
10.0,73.0,1.5,10.0,1.19
10.0,73.0,1.5,15.0,1.07
10.0,73.0,1.5,20.0,0.95
10.0,73.0,1.5,25.0,0.83
10.0,73.0,1.5,30.0,0.75
11.0,82.0,1.5,5.0,1.22
11.0,82.0,1.5,10.0,0.98
11.0,82.0,1.5,15.0,0.8
11.0,82.0,1.5,20.0,0.65
11.0,82.0,1.5,25.0,0.51
11.0,82.0,1.5,30.0,0.42
12.0,90.0,1.5,5.0,1.07
12.0,90.0,1.5,10.0,0.75
12.0,90.0,1.5,15.0,0.53
12.0,90.0,1.5,20.0,0.38
12.0,90.0,1.5,25.0,0.27
12.0,90.0,1.5,30.0,0.18
