PA0,t,P
2.0,1.0,5.77
2.0,2.0,5.47
2.0,3.0,5.27
2.0,4.0,5.18
2.0,5.0,5.0
2.0,6.0,4.91
2.0,7.0,4.76
2.0,8.0,4.75
2.0,9.0,4.67
2.0,10.0,4.59
2.0,11.0,4.47
2.0,12.0,4.43
2.0,13.0,4.38
2.0,14.0,4.39
2.0,15.0,4.34
2.0,16.0,4.29
2.0,17.0,4.3
2.0,18.0,4.24
2.0,19.0,4.19
2.0,20.0,4.22
2.0,21.0,4.13
2.0,22.0,4.14
2.0,23.0,4.15
2.0,24.0,4.11
3.0,1.0,5.64
3.0,2.0,5.32
3.0,3.0,5.11
3.0,4.0,4.95
3.0,5.0,4.74
3.0,6.0,4.53
3.0,7.0,4.4
3.0,8.0,4.29
3.0,9.0,4.25
3.0,10.0,4.16
3.0,11.0,4.02
3.0,12.0,3.97
3.0,13.0,3.9
3.0,14.0,3.83
3.0,15.0,3.75
3.0,16.0,3.72
3.0,17.0,3.71
3.0,18.0,3.7
3.0,19.0,3.64
3.0,20.0,3.55
3.0,21.0,3.51
3.0,22.0,3.55
3.0,23.0,3.5
3.0,24.0,3.52
4.0,1.0,5.65
4.0,2.0,5.32
4.0,3.0,5.02
4.0,4.0,4.85
4.0,5.0,4.66
4.0,6.0,4.5
4.0,7.0,4.41
4.0,8.0,4.36
4.0,9.0,4.26
4.0,10.0,4.19
4.0,11.0,4.09
4.0,12.0,4.01
4.0,13.0,4.02
4.0,14.0,3.96
4.0,15.0,3.99
4.0,16.0,3.96
4.0,17.0,3.94
4.0,18.0,3.96
4.0,19.0,4.01
4.0,20.0,3.95
4.0,21.0,4.01
4.0,22.0,4.04
4.0,23.0,4.03
4.0,24.0,4.02
