Experiment,T,CA0,t,CA
1.0,65.0,0.5,5.0,0.46
1.0,65.0,0.5,10.0,0.43
1.0,65.0,0.5,15.0,0.4
1.0,65.0,0.5,20.0,0.38
1.0,65.0,0.5,25.0,0.35
1.0,65.0,0.5,30.0,0.33
2.0,73.0,0.5,5.0,0.44
2.0,73.0,0.5,10.0,0.4
2.0,73.0,0.5,15.0,0.35
2.0,73.0,0.5,20.0,0.32
2.0,73.0,0.5,25.0,0.27
2.0,73.0,0.5,30.0,0.26
3.0,82.0,0.5,5.0,0.41
3.0,82.0,0.5,10.0,0.34
3.0,82.0,0.5,15.0,0.26
3.0,82.0,0.5,20.0,0.21
3.0,82.0,0.5,25.0,0.18
3.0,82.0,0.5,30.0,0.14
4.0,90.0,0.5,5.0,0.35
4.0,90.0,0.5,10.0,0.26
4.0,90.0,0.5,15.0,0.18
4.0,90.0,0.5,20.0,0.12
4.0,90.0,0.5,25.0,0.09
4.0,90.0,0.5,30.0,0.06
5.0,65.0,1.0,5.0,0.93
5.0,65.0,1.0,10.0,0.88
5.0,65.0,1.0,15.0,0.81
5.0,65.0,1.0,20.0,0.78
5.0,65.0,1.0,25.0,0.73
5.0,65.0,1.0,30.0,0.68
6.0,73.0,1.0,5.0,0.88
6.0,73.0,1.0,10.0,0.8
6.0,73.0,1.0,15.0,0.7
6.0,73.0,1.0,20.0,0.63
6.0,73.0,1.0,25.0,0.56
6.0,73.0,1.0,30.0,0.49
7.0,82.0,1.0,5.0,0.81
7.0,82.0,1.0,10.0,0.65
7.0,82.0,1.0,15.0,0.52
7.0,82.0,1.0,20.0,0.42
7.0,82.0,1.0,25.0,0.34
7.0,82.0,1.0,30.0,0.28
8.0,90.0,1.0,5.0,0.7
8.0,90.0,1.0,10.0,0.5
8.0,90.0,1.0,15.0,0.34
8.0,90.0,1.0,20.0,0.25
8.0,90.0,1.0,25.0,0.18
8.0,90.0,1.0,30.0,0.11
9.0,65.0,1.5,5.0,1.41
9.0,65.0,1.5,10.0,1.32
9.0,65.0,1.5,15.0,1.23
9.0,65.0,1.5,20.0,1.15
9.0,65.0,1.5,25.0,1.08
9.0,65.0,1.5,30.0,1.01
10.0,73.0,1.5,5.0,1.34
10.0,73.0,1.5,10.0,1.2
10.0,73.0,1.5,15.0,1.07
10.0,73.0,1.5,20.0,0.94
10.0,73.0,1.5,25.0,0.85
10.0,73.0,1.5,30.0,0.76
11.0,82.0,1.5,5.0,1.22
11.0,82.0,1.5,10.0,0.99
11.0,82.0,1.5,15.0,0.81
11.0,82.0,1.5,20.0,0.65
11.0,82.0,1.5,25.0,0.53
11.0,82.0,1.5,30.0,0.43
12.0,90.0,1.5,5.0,1.05
12.0,90.0,1.5,10.0,0.74
12.0,90.0,1.5,15.0,0.52
12.0,90.0,1.5,20.0,0.36
12.0,90.0,1.5,25.0,0.27
12.0,90.0,1.5,30.0,0.18
