tau,yAin,CZout
30.0,0.1,0.56
30.0,0.2,0.94
30.0,0.3,1.7
30.0,0.4,2.17
30.0,0.5,2.87
30.0,0.6,3.33
30.0,0.7,3.31
30.0,0.8,2.74
30.0,0.9,2.04
40.0,0.1,0.62
40.0,0.2,1.13
40.0,0.3,2.28
40.0,0.4,2.76
40.0,0.5,3.61
40.0,0.6,4.01
40.0,0.7,4.41
40.0,0.8,3.89
40.0,0.9,2.39
50.0,0.1,0.69
50.0,0.2,1.58
50.0,0.3,2.46
50.0,0.4,3.55
50.0,0.5,4.48
50.0,0.6,5.05
50.0,0.7,5.17
50.0,0.8,4.68
50.0,0.9,3.1
60.0,0.1,0.92
60.0,0.2,1.99
60.0,0.3,3.08
60.0,0.4,4.18
60.0,0.5,5.09
60.0,0.6,5.97
60.0,0.7,5.99
60.0,0.8,5.11
60.0,0.9,3.38
