VFR,CAin,CYin,CZin,CA
0.5,0.01,0.0,0.0,0.0062
0.5,0.01,0.0,0.01,0.007
0.5,0.01,0.0,0.02,0.0074
0.5,0.01,0.0,0.03,0.0079
0.5,0.01,0.01,0.0,0.0066
0.5,0.01,0.01,0.01,0.0084
0.5,0.01,0.01,0.02,0.0092
0.5,0.01,0.01,0.03,0.0102
0.5,0.01,0.02,0.0,0.0071
0.5,0.01,0.02,0.01,0.009
0.5,0.01,0.02,0.02,0.0101
0.5,0.01,0.02,0.03,0.0117
0.5,0.01,0.03,0.0,0.0074
0.5,0.01,0.03,0.01,0.0099
0.5,0.01,0.03,0.02,0.0118
0.5,0.01,0.03,0.03,0.0131
0.5,0.02,0.0,0.0,0.0106
0.5,0.02,0.0,0.01,0.0123
0.5,0.02,0.0,0.02,0.0117
0.5,0.02,0.0,0.03,0.0137
0.5,0.02,0.01,0.0,0.0117
0.5,0.02,0.01,0.01,0.0123
0.5,0.02,0.01,0.02,0.0134
0.5,0.02,0.01,0.03,0.0147
0.5,0.02,0.02,0.0,0.0121
0.5,0.02,0.02,0.01,0.0136
0.5,0.02,0.02,0.02,0.015
0.5,0.02,0.02,0.03,0.0173
0.5,0.02,0.03,0.0,0.0134
0.5,0.02,0.03,0.01,0.0139
0.5,0.02,0.03,0.02,0.0175
0.5,0.02,0.03,0.03,0.0183
0.5,0.03,0.0,0.0,0.0147
0.5,0.03,0.0,0.01,0.0145
0.5,0.03,0.0,0.02,0.0165
0.5,0.03,0.0,0.03,0.0163
0.5,0.03,0.01,0.0,0.0162
0.5,0.03,0.01,0.01,0.0171
0.5,0.03,0.01,0.02,0.0171
0.5,0.03,0.01,0.03,0.0182
0.5,0.03,0.02,0.0,0.0177
0.5,0.03,0.02,0.01,0.0193
0.5,0.03,0.02,0.02,0.0205
0.5,0.03,0.02,0.03,0.0198
0.5,0.03,0.03,0.0,0.0187
0.5,0.03,0.03,0.01,0.0201
0.5,0.03,0.03,0.02,0.021
0.5,0.03,0.03,0.03,0.0235
1.0,0.01,0.0,0.0,0.0078
1.0,0.01,0.0,0.01,0.0079
1.0,0.01,0.0,0.02,0.0083
1.0,0.01,0.0,0.03,0.0075
1.0,0.01,0.01,0.0,0.0075
1.0,0.01,0.01,0.01,0.0081
1.0,0.01,0.01,0.02,0.0088
1.0,0.01,0.01,0.03,0.0098
1.0,0.01,0.02,0.0,0.0075
1.0,0.01,0.02,0.01,0.0096
1.0,0.01,0.02,0.02,0.0106
1.0,0.01,0.02,0.03,0.0113
1.0,0.01,0.03,0.0,0.008
1.0,0.01,0.03,0.01,0.0102
1.0,0.01,0.03,0.02,0.0113
1.0,0.01,0.03,0.03,0.0128
1.0,0.02,0.0,0.0,0.0133
1.0,0.02,0.0,0.01,0.0134
1.0,0.02,0.0,0.02,0.0132
1.0,0.02,0.0,0.03,0.0147
1.0,0.02,0.01,0.0,0.0127
1.0,0.02,0.01,0.01,0.0143
1.0,0.02,0.01,0.02,0.0148
1.0,0.02,0.01,0.03,0.0149
1.0,0.02,0.02,0.0,0.0139
1.0,0.02,0.02,0.01,0.0142
1.0,0.02,0.02,0.02,0.016
1.0,0.02,0.02,0.03,0.018
1.0,0.02,0.03,0.0,0.0135
1.0,0.02,0.03,0.01,0.015
1.0,0.02,0.03,0.02,0.018
1.0,0.02,0.03,0.03,0.0193
1.0,0.03,0.0,0.0,0.0174
1.0,0.03,0.0,0.01,0.0184
1.0,0.03,0.0,0.02,0.0175
1.0,0.03,0.0,0.03,0.0193
1.0,0.03,0.01,0.0,0.0191
1.0,0.03,0.01,0.01,0.0205
1.0,0.03,0.01,0.02,0.021
1.0,0.03,0.01,0.03,0.0203
1.0,0.03,0.02,0.0,0.0182
1.0,0.03,0.02,0.01,0.0196
1.0,0.03,0.02,0.02,0.0212
1.0,0.03,0.02,0.03,0.0225
1.0,0.03,0.03,0.0,0.0188
1.0,0.03,0.03,0.01,0.0202
1.0,0.03,0.03,0.02,0.0231
1.0,0.03,0.03,0.03,0.0249
1.5,0.01,0.0,0.0,0.0079
1.5,0.01,0.0,0.01,0.0084
1.5,0.01,0.0,0.02,0.0086
1.5,0.01,0.0,0.03,0.0082
1.5,0.01,0.01,0.0,0.0081
1.5,0.01,0.01,0.01,0.0091
1.5,0.01,0.01,0.02,0.0098
1.5,0.01,0.01,0.03,0.0096
1.5,0.01,0.02,0.0,0.0078
1.5,0.01,0.02,0.01,0.0096
1.5,0.01,0.02,0.02,0.0105
1.5,0.01,0.02,0.03,0.0109
1.5,0.01,0.03,0.0,0.0079
1.5,0.01,0.03,0.01,0.0099
1.5,0.01,0.03,0.02,0.0114
1.5,0.01,0.03,0.03,0.0122
1.5,0.02,0.0,0.0,0.0131
1.5,0.02,0.0,0.01,0.0149
1.5,0.02,0.0,0.02,0.0148
1.5,0.02,0.0,0.03,0.0158
1.5,0.02,0.01,0.0,0.0136
1.5,0.02,0.01,0.01,0.0159
1.5,0.02,0.01,0.02,0.0152
1.5,0.02,0.01,0.03,0.0161
1.5,0.02,0.02,0.0,0.0144
1.5,0.02,0.02,0.01,0.0158
1.5,0.02,0.02,0.02,0.0159
1.5,0.02,0.02,0.03,0.0175
1.5,0.02,0.03,0.0,0.0139
1.5,0.02,0.03,0.01,0.0171
1.5,0.02,0.03,0.02,0.0184
1.5,0.02,0.03,0.03,0.0184
1.5,0.03,0.0,0.0,0.0184
1.5,0.03,0.0,0.01,0.0192
1.5,0.03,0.0,0.02,0.0189
1.5,0.03,0.0,0.03,0.0209
1.5,0.03,0.01,0.0,0.0192
1.5,0.03,0.01,0.01,0.0197
1.5,0.03,0.01,0.02,0.0212
1.5,0.03,0.01,0.03,0.0208
1.5,0.03,0.02,0.0,0.0192
1.5,0.03,0.02,0.01,0.0208
1.5,0.03,0.02,0.02,0.0221
1.5,0.03,0.02,0.03,0.0221
1.5,0.03,0.03,0.0,0.0216
1.5,0.03,0.03,0.01,0.0233
1.5,0.03,0.03,0.02,0.0244
1.5,0.03,0.03,0.03,0.0254
2.0,0.01,0.0,0.0,0.0079
2.0,0.01,0.0,0.01,0.0081
2.0,0.01,0.0,0.02,0.009
2.0,0.01,0.0,0.03,0.0082
2.0,0.01,0.01,0.0,0.0082
2.0,0.01,0.01,0.01,0.0094
2.0,0.01,0.01,0.02,0.0094
2.0,0.01,0.01,0.03,0.01
2.0,0.01,0.02,0.0,0.0086
2.0,0.01,0.02,0.01,0.0091
2.0,0.01,0.02,0.02,0.0105
2.0,0.01,0.02,0.03,0.0115
2.0,0.01,0.03,0.0,0.0086
2.0,0.01,0.03,0.01,0.0097
2.0,0.01,0.03,0.02,0.0113
2.0,0.01,0.03,0.03,0.0125
2.0,0.02,0.0,0.0,0.014
2.0,0.02,0.0,0.01,0.0151
2.0,0.02,0.0,0.02,0.0162
2.0,0.02,0.0,0.03,0.0151
2.0,0.02,0.01,0.0,0.0149
2.0,0.02,0.01,0.01,0.0158
2.0,0.02,0.01,0.02,0.0167
2.0,0.02,0.01,0.03,0.0173
2.0,0.02,0.02,0.0,0.016
2.0,0.02,0.02,0.01,0.0158
2.0,0.02,0.02,0.02,0.016
2.0,0.02,0.02,0.03,0.0185
2.0,0.02,0.03,0.0,0.0146
2.0,0.02,0.03,0.01,0.0176
2.0,0.02,0.03,0.02,0.0184
2.0,0.02,0.03,0.03,0.0178
2.0,0.03,0.0,0.0,0.0198
2.0,0.03,0.0,0.01,0.0223
2.0,0.03,0.0,0.02,0.0207
2.0,0.03,0.0,0.03,0.0209
2.0,0.03,0.01,0.0,0.0196
2.0,0.03,0.01,0.01,0.0214
2.0,0.03,0.01,0.02,0.0231
2.0,0.03,0.01,0.03,0.0222
2.0,0.03,0.02,0.0,0.02
2.0,0.03,0.02,0.01,0.0226
2.0,0.03,0.02,0.02,0.0219
2.0,0.03,0.02,0.03,0.0231
2.0,0.03,0.03,0.0,0.022
2.0,0.03,0.03,0.01,0.0228
2.0,0.03,0.03,0.02,0.0243
2.0,0.03,0.03,0.03,0.0249
2.5,0.01,0.0,0.0,0.0084
2.5,0.01,0.0,0.01,0.0083
2.5,0.01,0.0,0.02,0.0087
2.5,0.01,0.0,0.03,0.0087
2.5,0.01,0.01,0.0,0.0084
2.5,0.01,0.01,0.01,0.0088
2.5,0.01,0.01,0.02,0.0098
2.5,0.01,0.01,0.03,0.0102
2.5,0.01,0.02,0.0,0.0089
2.5,0.01,0.02,0.01,0.0092
2.5,0.01,0.02,0.02,0.0104
2.5,0.01,0.02,0.03,0.0106
2.5,0.01,0.03,0.0,0.0086
2.5,0.01,0.03,0.01,0.0096
2.5,0.01,0.03,0.02,0.0108
2.5,0.01,0.03,0.03,0.0123
2.5,0.02,0.0,0.0,0.0149
2.5,0.02,0.0,0.01,0.0164
2.5,0.02,0.0,0.02,0.0168
2.5,0.02,0.0,0.03,0.0155
2.5,0.02,0.01,0.0,0.016
2.5,0.02,0.01,0.01,0.0165
2.5,0.02,0.01,0.02,0.0171
2.5,0.02,0.01,0.03,0.0175
2.5,0.02,0.02,0.0,0.016
2.5,0.02,0.02,0.01,0.0171
2.5,0.02,0.02,0.02,0.0167
2.5,0.02,0.02,0.03,0.0187
2.5,0.02,0.03,0.0,0.0155
2.5,0.02,0.03,0.01,0.0175
2.5,0.02,0.03,0.02,0.0174
2.5,0.02,0.03,0.03,0.018
2.5,0.03,0.0,0.0,0.0206
2.5,0.03,0.0,0.01,0.023
2.5,0.03,0.0,0.02,0.0221
2.5,0.03,0.0,0.03,0.0236
2.5,0.03,0.01,0.0,0.0204
2.5,0.03,0.01,0.01,0.0218
2.5,0.03,0.01,0.02,0.0228
2.5,0.03,0.01,0.03,0.0232
2.5,0.03,0.02,0.0,0.0219
2.5,0.03,0.02,0.01,0.0242
2.5,0.03,0.02,0.02,0.0242
2.5,0.03,0.02,0.03,0.0249
2.5,0.03,0.03,0.0,0.022
2.5,0.03,0.03,0.01,0.0235
2.5,0.03,0.03,0.02,0.025
2.5,0.03,0.03,0.03,0.0257
