tau,yAin,CZout
30.0,0.1,0.34
30.0,0.2,1.11
30.0,0.3,1.83
30.0,0.4,2.09
30.0,0.5,2.91
30.0,0.6,3.08
30.0,0.7,3.28
30.0,0.8,2.84
30.0,0.9,2.02
40.0,0.1,0.49
40.0,0.2,1.19
40.0,0.3,1.97
40.0,0.4,2.88
40.0,0.5,3.5
40.0,0.6,4.23
40.0,0.7,4.24
40.0,0.8,3.64
40.0,0.9,2.41
50.0,0.1,0.8
50.0,0.2,1.57
50.0,0.3,2.53
50.0,0.4,3.5
50.0,0.5,4.69
50.0,0.6,5.2
50.0,0.7,5.01
50.0,0.8,4.55
50.0,0.9,3.11
60.0,0.1,0.85
60.0,0.2,1.85
60.0,0.3,2.88
60.0,0.4,4.37
60.0,0.5,5.09
60.0,0.6,6.02
60.0,0.7,5.89
60.0,0.8,5.05
60.0,0.9,3.16
